subject,source,discourse_id,entity_amount,sentence_amount,positive,negative,share_rate
nw,wsj,wsj_1121,258,47,19,1,0.304348
nw,wsj,wsj_1122,230,47,19,1,0.543478
nw,wsj,wsj_1162,274,50,19,1,0.510204
nw,wsj,wsj_1206,211,46,19,1,0.933333
nw,wsj,wsj_1218,219,46,19,1,0.622222
nw,wsj,wsj_1270,277,49,19,1,0.500000
nw,wsj,wsj_1273,191,49,19,1,0.666667
nw,wsj,wsj_1284,257,47,19,1,0.521739
nw,wsj,wsj_1296,238,48,19,1,0.829787
nw,wsj,wsj_1327,230,47,19,1,0.630435
nw,wsj,wsj_1424,258,49,19,1,0.520833
nw,wsj,wsj_1432,243,48,19,1,0.723404
nw,wsj,wsj_1436,281,50,19,1,0.571429
nw,wsj,wsj_1470,262,47,19,1,0.543478
nw,wsj,wsj_1474,265,47,19,1,0.608696
nw,wsj,wsj_1493,259,50,19,1,0.673469
nw,wsj,wsj_1499,182,47,19,1,0.500000
nw,wsj,wsj_1504,231,50,19,1,0.693878
nw,wsj,wsj_1515,221,49,19,1,0.750000
nw,wsj,wsj_1550,231,49,19,1,0.854167
nw,wsj,wsj_1564,194,49,19,1,0.583333
nw,wsj,wsj_1583,265,47,19,1,0.500000
nw,wsj,wsj_1695,253,48,19,1,0.574468
nw,wsj,wsj_2151,211,48,19,1,0.510638
nw,wsj,wsj_0597,68,7,19,1,1.000000
nw,wsj,wsj_1091,62,8,8,12,0.857143
nw,wsj,wsj_1116,47,8,15,5,0.571429
nw,wsj,wsj_1169,39,7,6,14,0.666667
nw,wsj,wsj_1188,39,7,12,8,0.666667
nw,wsj,wsj_1341,42,6,19,1,1.000000
nw,wsj,wsj_1343,32,6,16,4,1.000000
nw,wsj,wsj_1363,46,9,14,6,0.625000
nw,wsj,wsj_1431,28,6,11,9,1.000000
nw,wsj,wsj_1472,41,7,15,5,0.833333
nw,wsj,wsj_1514,54,7,15,5,1.000000
nw,wsj,wsj_1520,23,6,16,4,0.600000
nw,wsj,wsj_1537,40,6,9,11,1.000000
nw,wsj,wsj_1607,66,10,18,2,1.000000
nw,xinhua,chtb_0002,50,10,18,2,0.666667
nw,xinhua,chtb_0028,52,9,12,8,0.500000
nw,xinhua,chtb_0044,57,8,18,2,0.857143
nw,xinhua,chtb_0048,72,10,11,9,0.777778
nw,xinhua,chtb_0051,82,8,19,1,0.857143
nw,xinhua,chtb_0085,63,10,18,2,0.777778
nw,xinhua,chtb_0095,53,7,18,2,0.833333
nw,xinhua,chtb_0098,67,7,18,2,0.666667
nw,xinhua,chtb_0124,91,10,19,1,0.777778
nw,xinhua,chtb_0125,40,8,19,1,0.857143
nw,xinhua,chtb_0158,62,9,19,1,0.750000
